results for FGOALS-g2 - PMIP3 - variable: MAT - LGM - PI anomaly
units: K
==========================================================
Global mean anomaly :   -4.63
90-30S anomaly :   -2.47
30S - 30N anomaly :   -3.02
30 - 90N anomaly :  -10.14
==========================================================
zonal mean anomaly
latitude | value
 -90.00 ;  -14.34
 -83.87 ;   -9.70
 -79.15 ;   -6.99
 -75.17 ;   -5.37
 -71.67 ;   -3.59
 -68.49 ;   -2.56
 -65.58 ;   -2.23
 -62.79 ;   -2.35
 -60.00 ;   -2.25
 -57.21 ;   -2.20
 -54.42 ;   -2.21
 -51.63 ;   -1.96
 -48.84 ;   -1.68
 -46.04 ;   -1.64
 -43.25 ;   -1.78
 -40.46 ;   -1.76
 -37.67 ;   -1.74
 -34.88 ;   -1.84
 -32.09 ;   -1.98
 -29.30 ;   -1.96
 -26.51 ;   -2.23
 -23.72 ;   -2.43
 -20.93 ;   -2.65
 -18.14 ;   -2.85
 -15.35 ;   -3.00
 -12.56 ;   -2.97
  -9.77 ;   -2.96
  -6.98 ;   -2.97
  -4.19 ;   -2.92
  -1.40 ;   -2.82
   1.40 ;   -2.77
   4.19 ;   -2.84
   6.98 ;   -2.98
   9.77 ;   -3.01
  12.56 ;   -2.97
  15.35 ;   -3.25
  18.14 ;   -3.42
  20.93 ;   -3.63
  23.72 ;   -3.74
  26.51 ;   -3.59
  29.30 ;   -4.58
  32.09 ;   -4.97
  34.88 ;   -6.02
  37.67 ;   -6.14
  40.46 ;   -6.91
  43.25 ;   -7.91
  46.04 ;   -9.02
  48.84 ;   -9.94
  51.63 ;  -10.73
  54.42 ;  -11.97
  57.21 ;  -12.55
  60.00 ;  -13.17
  62.79 ;  -13.72
  65.58 ;  -13.72
  68.49 ;  -14.61
  71.67 ;  -16.10
  75.17 ;  -16.12
  79.15 ;  -15.75
  83.87 ;  -14.08
  90.00 ;  -11.79
